chembl_id,shape_tanimoto,o3a_score,planarity,heavy_atoms,aromatic_rings,fused_rings,name
CHEMBL453,0.5064,86.19,0.793,18,2,0,SULFISOXAZOLE
CHEMBL220491,0.5061,91.49,0.77,23,1,1,BRINZOLAMIDE
CHEMBL1201174,0.5058,102.55,0.724,34,2,1,SITAGLIPTIN PHOSPHATE
CHEMBL1200832,0.5057,,0.564,23,2,1,TERBINAFINE HYDROCHLORIDE
CHEMBL1521,0.5054,87.71,1.029,23,3,1,ZALEPLON
CHEMBL2043437,0.5052,111.0,0.596,28,3,1,GLASDEGIB
CHEMBL3545253,0.5043,84.74,0.408,20,4,2,FLORTAUCIPIR F 18
CHEMBL1173055,0.5041,100.79,0.522,24,3,3,RUCAPARIB
CHEMBL1697841,0.5033,62.36,0.397,10,0,0,ISOMETHEPTENE
CHEMBL70927,0.503,75.01,0.0,10,1,0,DEFERIPRONE
CHEMBL198362,0.503,118.37,0.371,29,2,0,RIVAROXABAN
CHEMBL2110372,0.5027,,0.725,22,1,0,RANITIDINE HYDROCHLORIDE
CHEMBL535,0.5022,115.66,0.93,29,2,1,SUNITINIB
CHEMBL1200796,0.5018,70.86,0.707,15,0,0,CYCLOPHOSPHAMIDE
CHEMBL1004,0.5014,90.52,0.969,20,2,0,DOXYLAMINE
CHEMBL1201345,0.5014,81.9,0.615,19,0,0,TETRADECYL SULFURIC ACID
CHEMBL742,0.5,81.78,1.023,16,1,0,KETAMINE
CHEMBL1201754,0.499,79.72,0.725,17,2,0,RUFINAMIDE
CHEMBL609,0.4988,72.52,0.398,10,0,0,TRIENTINE
CHEMBL5315121,0.4987,95.0,0.865,28,1,7,TECOVIRIMAT MONOHYDRATE
CHEMBL1201753,0.4982,100.96,0.791,31,3,1,PITAVASTATIN
CHEMBL1542,0.498,89.59,0.841,19,3,1,AZATHIOPRINE
CHEMBL3545181,0.4969,85.86,0.887,28,2,2,TIOTROPIUM BROMIDE
CHEMBL566534,0.4966,89.72,0.717,21,0,8,ARTEMETHER
CHEMBL1201346,0.4964,94.83,0.442,26,2,0,BALSALAZIDE
CHEMBL1657,0.4959,88.04,0.466,25,2,1,TAZAROTENE
CHEMBL2110636,0.4959,83.88,0.84,22,1,0,BUNAMIODYL
CHEMBL32479,0.495,95.32,0.967,22,3,2,BROTIZOLAM
CHEMBL1200367,0.4949,80.78,0.731,16,0,0,ECHOTHIOPHATE IODIDE
CHEMBL1670,0.4947,80.8,0.969,18,2,0,MITOTANE
CHEMBL308954,0.4947,97.67,0.82,28,3,0,ETRAVIRINE
CHEMBL1086440,0.494,84.61,0.849,21,3,1,TRICLABENDAZOLE
CHEMBL345714,0.4939,85.18,0.0,11,1,0,ACIPIMOX
CHEMBL3039502,0.4938,116.05,1.34,30,5,2,DUVELISIB
CHEMBL2105684,0.4925,107.46,0.829,32,3,1,SELUMETINIB SULFATE
CHEMBL1200781,0.4923,,0.932,25,2,1,CITALOPRAM HYDROBROMIDE
CHEMBL1200588,0.4918,,1.07,28,0,0,CLINDAMYCIN HYDROCHLORIDE
CHEMBL2109882,0.4916,,0.909,11,0,0,TRISILICATE
CHEMBL1200610,0.4913,94.12,0.946,25,1,1,LORACARBEF
CHEMBL911,0.491,101.6,0.587,23,3,1,ZOLPIDEM
CHEMBL2107175,0.4903,92.49,1.319,23,1,0,RANELIC ACID
CHEMBL3608680,0.4894,90.07,0.864,25,3,1,FEZOLINETANT
CHEMBL3545185,0.4889,104.83,0.941,31,3,0,SELINEXOR
CHEMBL1233,0.4889,87.71,0.778,18,0,0,CARISOPRODOL
CHEMBL4101807,0.4889,94.64,0.926,25,3,0,VOXELOTOR
CHEMBL1201773,0.4885,,0.885,27,2,1,PRASUGREL HYDROCHLORIDE
CHEMBL673,0.488,61.97,0.755,12,1,0,PARGYLINE
