chembl_id,pharm_tanimoto,pharm_recall,n_bits,shape_tanimoto,o3a_score,planarity,heavy_atoms,aromatic_rings,fused_rings,name,shape_tanimoto_r,pharm_tanimoto_r,pharm_recall_r,consensus
CHEMBL2107387,0.0657,0.1037,92,0.5707,,0.765,22,2,0,VORTIOXETINE HYDROBROMIDE,0.8456057007125891,0.6377672209026128,0.41330166270783847,0.6752
CHEMBL181,0.0787,0.1037,57,0.5453,81.53,0.475,14,1,1,DIAZOXIDE,0.7695961995249406,0.7482185273159145,0.41330166270783847,0.6741
CHEMBL1256400,0.0514,0.0815,90,0.6184,,0.8,19,1,0,XYLOMETAZOLINE HYDROCHLORIDE,0.9667458432304038,0.5106888361045131,0.342042755344418,0.6738
CHEMBL469,0.0938,0.1333,75,0.5178,92.29,0.739,19,2,1,KETOROLAC,0.66270783847981,0.831353919239905,0.497624703087886,0.672
CHEMBL1319139,0.0455,0.1333,279,0.5935,,0.726,19,1,0,BROMHEXINE HYDROCHLORIDE,0.9144893111638955,0.43705463182897863,0.497624703087886,0.667
CHEMBL460,0.0499,0.1481,286,0.571,91.16,0.621,20,1,1,MOLINDONE,0.8479809976247031,0.4916864608076009,0.5391923990498813,0.6639
CHEMBL488093,0.0866,0.3111,392,0.4854,85.5,0.909,24,2,0,PYRITINOL,0.47268408551068886,0.8028503562945368,0.8396674584323041,0.6635
CHEMBL3286830,0.0423,0.4074,1221,0.5209,114.36,0.956,30,3,3,LORLATINIB,0.667458432304038,0.41211401425178146,0.9334916864608076,0.6574
CHEMBL1201346,0.0774,0.2593,352,0.4964,94.83,0.442,26,2,0,BALSALAZIDE,0.5439429928741093,0.7363420427553444,0.7624703087885986,0.6563
CHEMBL456,0.0769,0.0963,47,0.5417,79.59,0.779,19,1,0,ETHACRYNIC ACID,0.7529691211401425,0.7304038004750594,0.3859857482185273,0.6545
CHEMBL1094636,0.0537,0.2593,552,0.5233,112.57,0.506,24,3,1,NIRAPARIB,0.6793349168646081,0.5237529691211401,0.7624703087885986,0.6534
CHEMBL4101807,0.0813,0.2741,357,0.4889,94.64,0.926,25,3,0,VOXELOTOR,0.498812351543943,0.7707838479809976,0.7909738717339667,0.6534
CHEMBL431770,0.1167,0.363,334,0.4566,103.05,0.498,28,3,1,ISTRADEFYLLINE,0.342042755344418,0.9026128266033254,0.9026128266033254,0.6504
CHEMBL58510,0.0572,0.1704,290,0.5376,94.43,1.043,32,2,1,CHLOROQUINE PHOSPHATE,0.7387173396674585,0.5676959619952494,0.5890736342042755,0.65
CHEMBL1055,0.1055,0.2148,169,0.4854,90.16,1.036,22,2,1,CHLORTHALIDONE,0.47268408551068886,0.8693586698337292,0.7019002375296912,0.649
CHEMBL4297526,0.083,0.3481,478,0.4768,93.12,1.097,28,3,2,REMIMAZOLAM,0.42755344418052255,0.7862232779097387,0.8788598574821853,0.648
CHEMBL70927,0.1133,0.1259,32,0.503,75.01,0.0,10,1,0,DEFERIPRONE,0.5783847980997625,0.8931116389548693,0.47862232779097386,0.6479
CHEMBL1200751,0.1222,0.2,113,0.4821,67.93,0.003,11,2,1,MERCAPTOPURINE,0.4501187648456057,0.9228028503562945,0.669833729216152,0.6469
CHEMBL2110636,0.1077,0.1556,81,0.4959,83.88,0.84,22,1,0,BUNAMIODYL,0.5403800475059383,0.8752969121140143,0.5558194774346793,0.6447
CHEMBL535650,0.0462,0.2667,681,0.5288,,0.694,27,2,1,MEFLOQUINE HYDROCHLORIDE,0.7007125890736342,0.44061757719714967,0.7779097387173397,0.642
CHEMBL443052,0.0744,0.1185,96,0.5248,,0.131,11,1,1,TAVABOROLE,0.6888361045130641,0.7125890736342043,0.4679334916864608,0.6407
CHEMBL3137326,0.0367,0.1333,374,0.5912,102.16,0.701,23,1,2,DEUTETRABENAZINE,0.9073634204275535,0.3527315914489311,0.497624703087886,0.6385
CHEMBL499,0.0509,0.1704,340,0.542,94.17,0.659,21,1,0,TIMOLOL,0.7553444180522565,0.503562945368171,0.5890736342042755,0.6382
CHEMBL1626223,0.0479,0.0593,40,0.6175,83.12,0.417,14,1,0,PYRANTEL,0.9643705463182898,0.46080760095011875,0.25534441805225655,0.636
CHEMBL473417,0.1042,0.2593,236,0.4721,96.1,0.649,27,3,0,VISMODEGIB,0.40973871733966744,0.8669833729216152,0.7624703087885986,0.6351
CHEMBL119423,0.1362,0.2593,157,0.4579,74.92,0.0,10,2,1,TISOPURINE,0.34441805225653205,0.9631828978622328,0.7624703087885986,0.6346
CHEMBL3237547,0.0328,0.1333,431,0.6061,93.66,0.709,18,0,0,CEDAZURIDINE,0.9382422802850356,0.28978622327790976,0.497624703087886,0.6336
CHEMBL1148,0.1494,0.363,242,0.4377,94.32,1.14,24,2,0,TORSEMIDE,0.2517814726840855,0.9809976247030879,0.9026128266033254,0.6333
CHEMBL56367,0.1294,0.1926,92,0.4739,94.84,0.792,21,2,0,NIMESULIDE,0.4168646080760095,0.9453681710213777,0.6425178147268409,0.6318
CHEMBL1201773,0.0806,0.2222,267,0.4885,,0.885,27,2,1,PRASUGREL HYDROCHLORIDE,0.49406175771971494,0.7577197149643705,0.7161520190023754,0.6287
CHEMBL588,0.0613,0.1926,315,0.5099,85.86,0.661,21,2,1,FENOLDOPAM,0.6187648456057007,0.6128266033254157,0.6425178147268409,0.6229
CHEMBL1631694,0.1176,0.2222,150,0.4646,77.72,0.97,19,2,0,FEXINIDAZOLE,0.38004750593824227,0.9073634204275535,0.7161520190023754,0.6223
CHEMBL1201174,0.0537,0.2667,572,0.5058,102.55,0.724,34,2,1,SITAGLIPTIN PHOSPHATE,0.5961995249406176,0.5237529691211401,0.7779097387173397,0.6199
CHEMBL12856,0.1151,0.2148,146,0.4661,73.84,0.574,14,2,0,INAMRINONE,0.38717339667458434,0.9002375296912114,0.7019002375296912,0.6198
CHEMBL290106,0.1004,0.1704,117,0.4863,73.47,0.858,19,2,0,BITHIONOL,0.47980997624703087,0.8551068883610451,0.5890736342042755,0.6197
CHEMBL4298149,0.054,0.1556,275,0.5335,110.16,0.689,34,1,0,ARIMOCLOMOL CITRATE,0.7149643705463183,0.5273159144893111,0.5558194774346793,0.6189
CHEMBL1294,0.024,0.1704,846,0.5898,97.17,0.773,24,2,4,QUINIDINE,0.8978622327790974,0.22446555819477435,0.5890736342042755,0.6186
CHEMBL1218,0.035,0.1037,279,0.5972,91.2,0.715,19,1,2,RAMELTEON,0.9263657957244655,0.3254156769596199,0.41330166270783847,0.6178
CHEMBL1076903,0.0556,0.1481,245,0.531,77.4,0.652,16,2,3,VARENICLINE,0.7054631828978623,0.5510688836104513,0.5391923990498813,0.6176
CHEMBL21536,0.0314,0.1407,489,0.5899,94.96,0.795,19,1,0,XANOMELINE,0.9002375296912114,0.27434679334916867,0.5201900237529691,0.6175
CHEMBL1789941,0.0349,0.2741,963,0.5337,99.56,1.092,23,3,1,RUXOLITINIB,0.7173396674584323,0.32185273159144895,0.7909738717339667,0.6171
CHEMBL1303,0.045,0.1037,190,0.5717,103.95,1.014,22,2,1,ROTIGOTINE,0.8527315914489311,0.4323040380047506,0.41330166270783847,0.6167
CHEMBL1289,0.0493,0.0519,14,0.5946,79.75,0.0,14,1,0,HALOPROGIN,0.9216152019002375,0.47980997624703087,0.23159144893111638,0.6166
CHEMBL3608680,0.0545,0.3852,872,0.4894,90.07,0.864,25,3,1,FEZOLINETANT,0.503562945368171,0.5332541567695962,0.9192399049881235,0.6164
CHEMBL1200328,0.1124,0.1407,53,0.4878,,1.028,22,3,1,DULOXETINE HYDROCHLORIDE,0.48693586698337293,0.8907363420427553,0.5201900237529691,0.6164
CHEMBL1089318,0.0782,0.4222,651,0.458,102.58,1.038,27,3,0,OPICAPONE,0.34679334916864607,0.7458432304038005,0.9453681710213777,0.6162
CHEMBL2062163,0.0774,0.0963,46,0.517,111.14,0.747,24,1,0,PHENDIMETRAZINE TARTRATE,0.6603325415676959,0.7363420427553444,0.3859857482185273,0.6145
CHEMBL1983350,0.0402,0.0593,72,0.615,86.03,0.629,17,1,1,STIRIPENTOL,0.9572446555819477,0.3847980997624703,0.25534441805225655,0.61
CHEMBL513,0.0577,0.0667,30,0.5521,77.58,0.742,12,0,0,CARMUSTINE,0.7957244655581948,0.5748218527315915,0.28859857482185275,0.6027
CHEMBL159226,0.0769,0.1037,61,0.5099,73.79,0.883,20,1,0,MOXISYLYTE,0.6187648456057007,0.7304038004750594,0.41330166270783847,0.6009
CHEMBL2110372,0.0691,0.1556,190,0.5027,,0.725,22,1,0,RANITIDINE HYDROCHLORIDE,0.5748218527315915,0.6591448931116389,0.5558194774346793,0.5954
CHEMBL1214124,0.104,0.1926,141,0.4658,95.15,0.95,27,4,0,PERAMPANEL,0.3847980997624703,0.8622327790973872,0.6425178147268409,0.5925
CHEMBL3261331,0.0629,0.3259,609,0.4764,107.47,0.933,29,3,0,RESMETIROM,0.4251781472684085,0.6199524940617577,0.8491686460807601,0.5896
CHEMBL4303214,0.0813,0.3926,570,0.445,103.14,0.982,29,4,2,FRUQUINTINIB,0.2826603325415677,0.7707838479809976,0.9239904988123515,0.5894
CHEMBL1367605,0.0405,0.0741,122,0.5744,,0.811,22,2,0,RITODRINE HYDROCHLORIDE,0.8705463182897862,0.39429928741092635,0.3171021377672209,0.5893
CHEMBL3348923,0.0571,0.4519,995,0.4675,110.61,0.828,32,3,0,TOVORAFENIB,0.38954869358669836,0.5653206650831354,0.9703087885985748,0.5875
CHEMBL1232131,0.1353,0.1704,58,0.4555,75.54,0.505,12,1,0,DOBESILIC ACID,0.334916864608076,0.9596199524940617,0.5890736342042755,0.5859
CHEMBL2079130,0.1119,0.2444,193,0.448,89.97,1.178,24,3,0,VONOPRAZAN,0.29453681710213775,0.8883610451306413,0.7470308788598575,0.5858
CHEMBL3545185,0.0506,0.3037,716,0.4889,104.83,0.941,31,3,0,SELINEXOR,0.498812351543943,0.497624703087886,0.830166270783848,0.5813
CHEMBL748,0.0743,0.0815,24,0.5109,68.84,0.0,11,1,0,PRALIDOXIME CHLORIDE,0.6282660332541568,0.7078384798099763,0.342042755344418,0.5806
CHEMBL1200979,0.067,0.1111,104,0.5077,86.67,0.903,14,0,0,DEXPANTHENOL,0.6045130641330166,0.6460807600950119,0.4477434679334917,0.5778
